x,Curve1
0.0408,9e-06
0.5007,0.04325
2.1372,0.15593
3.6973,0.26127
5.7445,0.37078
7.9256,0.46405
10.3324,0.58503
12.4506,0.65142
14.9619,0.73988
18.2933,0.82362
20.9867,0.88525
25.6652,0.97011
30.7975,1.04855
35.4391,1.12769
41.154,1.19079
44.9654,1.23069
48.2187,1.25093
49.808,1.25616
