Time [ms],Ox High (FLowmeter),Ox Low (Flowmeter),Eth High (Flowmeter),Eth Low (Flowmeter),Eth Chamber Pres.,Ox Chamber Pres.,Chamber Pres.,Load Cell,Thermocouple [C]
8750,12.26,17.12,-46.28,-45.73,-3.81,2.23,5.26,0,33.25
8852,12.26,17.12,-46.28,-45.73,-0.79,5.26,5.26,0,33.25
8952,12.26,17.12,-46.28,-49.15,-0.79,5.26,2.23,0,33.5
9053,8.67,17.12,-42.91,-45.73,-0.79,2.23,2.23,0,33.25
9154,12.26,17.12,-46.28,-45.73,-0.79,2.23,2.23,0,33.25
9255,15.84,17.12,-46.28,-49.15,-0.79,2.23,5.26,0,33.25
9356,12.26,17.12,-46.28,-45.73,2.23,2.23,2.23,0,33.25
9457,12.26,17.12,-46.28,-45.73,-0.79,2.23,2.23,0,33.25
9559,12.26,17.12,-46.28,-45.73,5.26,2.23,5.26,0,33.25
9659,8.67,20.73,-46.28,-45.73,-0.79,5.26,5.26,0,33.25
9761,12.26,17.12,-42.91,-45.73,2.23,2.23,8.28,0,33.25
9861,8.67,17.12,-46.28,-42.32,2.23,2.23,2.23,0,33.25
9962,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.25
10063,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.25
10164,8.67,20.73,-46.28,-45.73,-0.79,2.23,5.26,0,33.25
10265,12.26,17.12,-46.28,-45.73,-0.79,2.23,5.26,0,33.25
10366,8.67,17.12,-46.28,-49.15,-0.79,2.23,5.26,0,33.25
10467,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.25
10568,8.67,17.12,-46.28,-45.73,-0.79,2.23,5.26,0,33.25
10669,12.26,17.12,-39.53,-45.73,-0.79,2.23,2.23,0,33.25
10770,8.67,17.12,-46.28,-45.73,2.23,2.23,2.23,0,33.25
10871,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.25
10972,12.26,20.73,-42.91,-45.73,2.23,2.23,5.26,0,33.25
11073,8.67,17.12,-46.28,-45.73,-0.79,2.23,5.26,0,33.25
11174,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.25
11275,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.25
11377,12.26,17.12,-46.28,-42.32,5.26,2.23,5.26,0,33.25
11478,8.67,20.73,-42.91,-45.73,-0.79,2.23,5.26,0,33.25
11578,12.26,17.12,-46.28,-45.73,2.23,5.26,5.26,0,33.25
11680,12.26,17.12,-46.28,-45.73,-0.79,2.23,5.26,0,33.25
11780,12.26,17.12,-46.28,-45.73,-0.79,-0.79,5.26,0,33.25
11881,12.26,17.12,-46.28,-45.73,-0.79,11.3,5.26,0,33.25
11982,12.26,17.12,-46.28,-42.32,2.23,2.23,5.26,0,33.25
12083,12.26,20.73,-46.28,-45.73,-3.81,5.26,2.23,0,33.25
12184,8.67,17.12,-42.91,-45.73,2.23,2.23,5.26,0,33.25
12285,12.26,17.12,-46.28,-45.73,2.23,-0.79,5.26,0,33.25
12386,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.25
12487,8.67,17.12,-46.28,-45.73,2.23,2.23,2.23,0,33.25
12588,12.26,17.12,-42.91,-45.73,-0.79,2.23,5.26,0,33.25
12689,12.26,20.73,-46.28,-45.73,-0.79,-0.79,5.26,0,33.5
12790,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.25
12892,12.26,20.73,-46.28,-45.73,-0.79,2.23,11.3,0,33.25
12993,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.25
13094,15.84,20.73,-46.28,-45.73,-0.79,2.23,5.26,0,33.25
13195,12.26,17.12,-46.28,-45.73,-0.79,-0.79,5.26,0,33.25
13295,8.67,20.73,-42.91,-45.73,-0.79,8.28,8.28,0,33.5
13396,12.26,17.12,-46.28,-45.73,-0.79,2.23,8.28,22.09,33.5
13497,15.84,17.12,-46.28,-45.73,-0.79,-0.79,5.26,0,33.25
13598,12.26,17.12,-42.91,-49.15,-18.93,2.23,5.26,0,33.25
13699,12.26,17.12,-46.28,-45.73,-0.79,2.23,-0.79,0,33.25
13800,12.26,17.12,-46.28,-45.73,-3.81,2.23,5.26,0,33.5
13901,12.26,20.73,-46.28,-45.73,2.23,-0.79,5.26,0,33.25
14002,12.26,17.12,-46.28,-49.15,2.23,2.23,5.26,0,33.25
14103,8.67,17.12,-42.91,-49.15,2.23,2.23,8.28,0,33.5
14204,12.26,20.73,-46.28,-45.73,11.3,2.23,2.23,0,33.5
14305,12.26,17.12,-42.91,-42.32,2.23,2.23,5.26,0,33.5
14407,12.26,20.73,-46.28,-45.73,2.23,2.23,2.23,0,33.5
14508,12.26,17.12,-46.28,-45.73,2.23,2.23,2.23,0,33.25
14609,12.26,17.12,-46.28,-45.73,-0.79,2.23,5.26,0,33.25
14710,12.26,17.12,-42.91,-45.73,-0.79,5.26,5.26,0,33.5
14810,12.26,17.12,-42.91,-45.73,-0.79,2.23,5.26,0,33.5
14911,12.26,17.12,-46.28,-45.73,-0.79,2.23,5.26,0,33.5
15012,8.67,20.73,-46.28,-45.73,2.23,5.26,5.26,0,33.5
15113,12.26,20.73,-42.91,-42.32,2.23,2.23,8.28,0,33.5
15214,8.67,17.12,-42.91,-42.32,-0.79,2.23,5.26,0,33.5
15315,12.26,17.12,-46.28,-49.15,2.23,2.23,2.23,0,33.5
15416,8.67,17.12,-46.28,-45.73,2.23,-0.79,2.23,0,33.5
15517,12.26,20.73,-42.91,-45.73,2.23,5.26,5.26,0,33.5
15618,12.26,17.12,-46.28,-49.15,2.23,-6.84,2.23,0,33.25
15719,15.84,17.12,-46.28,-45.73,-0.79,-0.79,2.23,0,33.5
15820,12.26,17.12,-42.91,-45.73,2.23,2.23,5.26,0,33.5
15921,12.26,17.12,-46.28,-45.73,-6.84,5.26,5.26,0,33.5
16022,12.26,17.12,-46.28,-45.73,2.23,2.23,8.28,0,33.5
16123,8.67,17.12,-42.91,-45.73,2.23,5.26,2.23,0,33.5
16224,12.26,17.12,-46.28,-45.73,14.33,5.26,5.26,0,33.5
16325,8.67,20.73,-46.28,-45.73,2.23,2.23,5.26,0,33.5
16426,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.5
16527,8.67,17.12,-46.28,-49.15,-0.79,5.26,5.26,0,33.5
16628,12.26,20.73,-39.53,-45.73,2.23,2.23,5.26,0,33.5
16729,12.26,20.73,-46.28,-45.73,2.23,2.23,2.23,0,33.5
16830,12.26,20.73,-46.28,-45.73,2.23,-0.79,5.26,0,33.5
16932,12.26,17.12,-46.28,-45.73,2.23,8.28,2.23,0,33.5
17032,12.26,17.12,-46.28,-45.73,2.23,5.26,11.3,0,33.5
17133,12.26,17.12,-46.28,-49.15,2.23,2.23,5.26,0,33.5
17234,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.5
17335,8.67,17.12,-46.28,-45.73,-0.79,2.23,5.26,0,33.5
17436,8.67,17.12,-46.28,-45.73,-0.79,8.28,8.28,0,33.5
17537,8.67,17.12,-46.28,-45.73,2.23,5.26,2.23,0,33.5
17638,8.67,20.73,-46.28,-45.73,14.33,2.23,5.26,0,33.5
17739,12.26,17.12,-46.28,-42.32,-3.81,2.23,5.26,0,33.5
17840,12.26,17.12,-46.28,-45.73,2.23,5.26,2.23,0,33.5
17941,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.5
18042,12.26,17.12,-46.28,-45.73,-0.79,2.23,5.26,0,33.5
18143,8.67,20.73,-46.28,-42.32,2.23,5.26,2.23,0,33.5
18244,12.26,17.12,-42.91,-45.73,2.23,5.26,5.26,0,33.5
18345,8.67,17.12,-42.91,-45.73,2.23,2.23,5.26,0,33.5
18446,8.67,20.73,-46.28,-45.73,-0.79,2.23,5.26,0,33.5
18547,12.26,17.12,-42.91,-49.15,-0.79,-0.79,23.4,0,33.5
18649,12.26,17.12,-46.28,-45.73,-0.79,8.28,5.26,0,33.5
18750,12.26,17.12,-46.28,-45.73,2.23,5.26,-0.79,0,33.5
18850,12.26,17.12,-42.91,-45.73,2.23,2.23,5.26,0,33.5
18951,8.67,17.12,-46.28,-45.73,-0.79,5.26,5.26,0,33.5
19052,12.26,17.12,-46.28,-45.73,5.26,5.26,5.26,0,33.5
19153,8.67,17.12,-46.28,-45.73,-0.79,-3.81,11.3,0,33.5
19254,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.5
19355,12.26,17.12,-46.28,-45.73,2.23,-0.79,2.23,0,33.5
19457,8.67,17.12,-46.28,-45.73,2.23,2.23,11.3,0,33.5
19557,8.67,17.12,-46.28,-45.73,-0.79,2.23,5.26,0,33.5
19658,8.67,17.12,-46.28,-45.73,2.23,5.26,5.26,0,33.5
19759,12.26,17.12,-46.28,-45.73,2.23,-3.81,5.26,0,33.5
19860,15.84,20.73,-42.91,-45.73,-0.79,5.26,5.26,0,33.5
19961,12.26,20.73,-46.28,-45.73,2.23,5.26,5.26,0,33.5
