x,SL,4000ft,8000ft,12000ft,16000ft,20000ft,24000ft,28000ft,31000ft,std_37C,std_30C,std_20C,std_10C,std,std_neg10C,std_neg20C,std_neg30C
-29.5665,189.9004,-4017.4573,-224.8766,-745.1085,104.6023,91.3728,74.4747,58.8995,48.339,35.2301,10.711,37.6134,54.5665,74.23,95.8071,-14.6508,-10308.9849
-29.4377,189.704,-3984.6018,-220.662,-731.4024,105.0852,91.2428,74.3641,58.7914,48.2411,34.9893,10.8713,37.7263,54.6924,74.3755,96.0224,-18.7229,-10452.693
-29.2513,189.42,-3937.3925,-214.6236,-711.8346,105.7436,91.0549,74.2037,58.6349,48.0995,34.645,11.103,37.8897,54.8749,74.5857,96.3907,-24.7638,-10662.8416
-28.5393,188.3351,-3760.3713,-192.1689,-639.8178,110.1975,90.3386,73.5854,58.0364,47.5585,33.3715,11.9884,38.5143,55.5753,75.3871,97.8011,-49.5329,-11491.0977
-27.2543,186.3769,-3453.8707,-154.0341,-520.4312,108.4887,89.0504,72.4481,56.9534,46.5811,31.2373,13.5876,39.6449,56.8551,76.8279,99.174,-101.4074,-13091.4179
-27.0682,186.0934,-3410.8696,-148.764,-504.2456,108.2561,88.8644,72.2813,56.7964,46.4395,30.9456,13.8191,39.8089,57.0421,77.0359,99.3444,-109.7194,-13334.5896
-26.2107,184.7867,-3217.0674,-125.2742,-433.1108,107.2006,88.0084,71.506,56.0724,45.7867,29.6566,23.7609,40.5659,57.9087,77.9927,100.1056,-150.7896,-14494.0205
-23.017,179.9203,-2557.0428,-48.9055,-215.2297,103.3767,84.8388,68.5477,53.3709,43.3535,25.6315,27.9309,43.3977,61.1792,81.5329,104.4701,-347.1436,-19395.3226
-23.0169,179.9201,-2557.0202,-48.903,-215.2229,103.3765,84.8387,68.5476,53.3708,43.3534,25.6313,27.931,43.3978,61.1793,81.533,104.4701,-347.1522,-19395.5207
-21.5173,177.6352,-2279.3683,-18.7591,-136.2997,101.6044,83.3603,67.1405,52.1006,42.2107,24.1448,29.3072,44.7293,62.7232,83.1861,102.6735,-465.4572,-22032.0566
-21.2382,177.21,-2229.8887,-13.5314,-123.1213,101.2752,83.0859,66.8789,51.8641,41.9981,23.8954,29.5459,44.9767,63.0104,83.4933,101.897,-489.4722,-22547.4667
-20.1725,175.5862,-2047.0922,5.3669,-76.9144,100.0189,82.0386,65.8832,50.9607,41.1862,23.0199,30.4198,45.9207,64.1055,84.6657,97.3719,-587.227,-24589.3769
-19.3361,174.3119,-1910.3813,19.042,-45.0345,99.0332,81.2158,65.1078,50.2515,40.5494,22.4164,31.0709,46.6597,64.9622,85.5851,91.8498,-670.8608,-26274.8494
-19.1502,174.0287,-1880.7812,21.9474,-38.4483,98.814,81.0326,64.9364,50.0939,40.4079,22.292,31.2122,46.8237,65.1522,85.7894,90.3593,-690.3052,-26659.6454
-17.1504,170.9818,-1580.1152,50.2171,21.63,96.4508,79.045,63.1084,48.3974,38.8868,21.1734,32.6674,48.5832,67.1802,87.987,67.3626,-919.9145,-31037.4417
-13.5974,165.5688,-1121.9977,87.9538,86.212,92.1792,75.3681,59.8615,45.3816,36.1924,20.1204,35.0518,51.6771,70.6548,91.9003,-12.7696,-1427.4548,-39945.3203
-13.2254,165.0022,-1079.3661,91.0544,90.3449,91.7181,74.9668,59.5165,45.0658,35.9111,20.0752,35.2914,51.9972,71.0046,92.3123,-24.6638,-1488.513,-40965.4738
-11.2334,161.9675,-867.2578,105.157,105.5867,89.1889,72.7481,57.6371,43.3742,34.4076,20.0296,36.5529,53.6938,72.8192,94.5553,-101.6035,-1842.8757,-46724.6117
