x,Curve1
0,2.22045e-16
0.07762,0.17631
0.21094,0.42649
0.28687,0.53228
0.41006,0.67164
0.52481,0.76231
0.62606,0.80933
0.72562,0.83116
0.85894,0.85131
0.98044,0.85802
1.08169,0.86474
1.17788,0.86474
1.269,0.86474
1.36519,0.8597
1.48669,0.85131
1.66219,0.84459
1.80056,0.83787
1.93219,0.83284
2.09081,0.82444
2.16506,0.80765
2.24775,0.78246
2.31694,0.74384
2.39119,0.68843
2.44856,0.63638
2.52619,0.52724
2.57006,0.41978
2.59875,0.29552
2.64262,2.22045e-16
